project,owner,repo,sha,url,sloc,stars,age_years,commit_count,stmt_cov_pct,branch_cov_pct,notes
ElianGroff-ezmk,ElianGroff,ezmk,4ff3050,https://github.com/ElianGroff/ezmk.git,361,1,1.3,12,22.3,12.7,
ElviinGit-LikeButton,ElviinGit,LikeButton,c33bf64,https://github.com/ElviinGit/LikeButton.git,453381,0,1.9,11,21.6,13.5,
EmilStenstrom-conllu,EmilStenstrom,conllu,60df138,https://github.com/EmilStenstrom/conllu.git,2787,319,9.4,461,100.0,100.0,
EndurantDevs-botstat-seo,EndurantDevs,botstat-seo,8193bb8,https://github.com/EndurantDevs/botstat-seo.git,975,6,8.8,97,23.5,12.6,
Ethos-lab-ares,Ethos-lab,ares,a0b1768ec3191318ea33b5cd89c3f1997a1069d8,https://github.com/Ethos-lab/ares.git,1757,10,3.9,76,22.0,12.8,
FEMlium-FEMlium,FEMlium,FEMlium,ee83fc5629b02ff4e7d7f1a07a43bd0f385135c4,https://github.com/FEMlium/FEMlium.git,3722,21,4.7,165,23.2,11.4,
FND-markdown-checklist,FND,markdown-checklist,3cad617da8842e4aefc9bdd3265c18da65a28d05,https://github.com/FND/markdown-checklist.git,263,83,12.4,26,22.6,12.8,
Farama-Foundation-chatarena,Farama-Foundation,chatarena,2aeb4fc7bc59db38076a7f4b317bc3569856ecf2,https://github.com/Farama-Foundation/chatarena.git,6912,1528,2.9,420,22.9,10.9,
FlatIO-api-client-python,FlatIO,api-client-python,df9128089e773d2fbf4595e3449caa7067de7e53,https://github.com/FlatIO/api-client-python.git,35921,10,8.8,54,29.0,10.8,
ForecastOS-investos,ForecastOS,investos,4b02de951bf7845354406a49541de78e9e938d7d,https://github.com/ForecastOS/investos.git,6164,170,2.8,137,22.4,10.0,
FrankD412-pyaestro,FrankD412,pyaestro,6269e96,https://github.com/FrankD412/pyaestro.git,1756,3,5.9,66,22.4,14.0,
G-Node-python-odml,G-Node,python-odml,98fa2e658313c299c4d237e3b8e7dc16f6727e60,https://github.com/G-Node/python-odml.git,25713,25,14.4,1966,38.0,22.0,
GabrielCappelli-openapi-specgen,GabrielCappelli,openapi-specgen,e864889,https://github.com/GabrielCappelli/openapi-specgen.git,1074,11,6.6,43,96.4,92.1,
Gia-Corp-TheMovieProject,Gia-Corp,TheMovieProject,5a4a44e,https://github.com/Gia-Corp/TheMovieProject.git,5322,2,2.8,130,22.1,9.8,
GitYCC-bert-minimal-tutorial,GitYCC,bert-minimal-tutorial,c527d20,https://github.com/GitYCC/bert-minimal-tutorial.git,2694382,25,5.2,37,22.3,10.5,
Good-Data-Hub-taxonomy4good,Good-Data-Hub,taxonomy4good,e873b69,https://github.com/Good-Data-Hub/taxonomy4good.git,1063,32,3.6,124,22.4,11.6,
GoogleCloudPlatform-agent-starter-pack,GoogleCloudPlatform,agent-starter-pack,638aba06fd69d49be32847e8410918e9a79eaaad,https://github.com/GoogleCloudPlatform/agent-starter-pack.git,47497,5553,1.0,223,27.0,14.6,
GoogleCloudPlatform-kubernetes-engine-samples,GoogleCloudPlatform,kubernetes-engine-samples,58e4f0b42f452dd275d9647f105c0904f4051553,https://github.com/GoogleCloudPlatform/kubernetes-engine-samples.git,81447,1334,9.8,1366,22.1,11.7,
Gsllchb-DotDot,Gsllchb,DotDot,17afff7,https://github.com/Gsllchb/DotDot.git,161,2,7.0,35,22.2,12.4,
HBNetwork-python-decouple,HBNetwork,python-decouple,0573e6f,https://github.com/HBNetwork/python-decouple.git,930,3009,11.9,200,6.6,1.9,tests_failed;coverage_failed
HBaraa-HBaraa-Projet7-Papy-robot,HBaraa,HBaraa-Projet7-Papy-robot,2811754,https://github.com/HBaraa/HBaraa-Projet7-Papy-robot.git,3713188,0,4.2,111,22.1,11.4,
HDE-python-lambda-local,HDE,python-lambda-local,21541ce0e5b044dd67dc4b2239d93bec48682145,https://github.com/HDE/python-lambda-local.git,726,313,10.3,156,23.3,13.2,
HGX-Team-hypergraphx,HGX-Team,hypergraphx,cad822b7c1c615b4bff485aefc882c421c9a746f,https://github.com/HGX-Team/hypergraphx.git,346605,290,3.0,600,26.1,13.0,
HRI-EU-score,HRI-EU,score,2ac72ab,https://github.com/HRI-EU/score.git,1956,3,1.8,12,22.1,10.4,
HTTP-APIs-hydra-python-core,HTTP-APIs,hydra-python-core,630a8b3,https://github.com/HTTP-APIs/hydra-python-core.git,4781,15,7.0,159,24.8,13.0,
Hazboun6-PulsarDataToolbox,Hazboun6,PulsarDataToolbox,d4c4a508f90fec77cc60be48776bf8300e98aeaa,https://github.com/Hazboun6/PulsarDataToolbox.git,1625,12,8.4,175,22.7,13.0,
HewlettPackard-catena,HewlettPackard,catena,01805b6,https://github.com/HewlettPackard/catena.git,1806,5,8.2,11,0.8,0.0,
HintikkaKimmo-surebet,HintikkaKimmo,surebet,f17f0c93b506f9bcfa085be08bda3a1735daf05a,https://github.com/HintikkaKimmo/surebet.git,478,83,7.8,26,22.3,12.5,
IBM-apiconnect-trawler,IBM,apiconnect-trawler,5613569,https://github.com/IBM/apiconnect-trawler.git,5914,6,5.7,186,23.5,11.2,
ICAERUS-EU-uavgeo,ICAERUS-EU,uavgeo,72355491c5131e2911b8590e648eccab30dbf478,https://github.com/ICAERUS-EU/uavgeo.git,1641,15,2.6,63,22.7,11.1,
Innoptech-OpenSTL,Innoptech,OpenSTL,a82f8b1f7edff233297e0b7bb440d3c780e02162,https://github.com/Innoptech/OpenSTL.git,2220,22,1.9,268,23.2,14.0,
JCSadeghi-PyIPM,JCSadeghi,PyIPM,a90b227,https://github.com/JCSadeghi/PyIPM.git,344,5,7.9,48,22.3,10.8,
JDArmy-TextWatermark,JDArmy,TextWatermark,9a3219ef6b14663be855b0631e035df4f9ea08bf,https://github.com/JDArmy/TextWatermark.git,49378,22,2.9,65,25.7,15.4,
JohanLi233-Viby,JohanLi233,Viby,5aac44240507b7988c965a12ca9d63305f334710,https://github.com/JohanLi233/Viby.git,7840,2,0.7,216,7.8,2.5,tests_failed;coverage_failed
JonnyHaystack-i3-resurrect,JonnyHaystack,i3-resurrect,bf7762e,https://github.com/JonnyHaystack/i3-resurrect.git,2183,422,6.6,317,22.5,13.2,
Josverl-micropython-stubs,Josverl,micropython-stubs,96d06f782a17419189ed9c164ebd36a977cdf025,https://github.com/Josverl/micropython-stubs.git,963874,281,5.3,2626,25.2,14.5,tests_failed;coverage_failed
JuanVilla424-cazira,JuanVilla424,cazira,7441c96,https://github.com/JuanVilla424/cazira.git,1744,1,1.2,1,23.2,12.3,
JuanVilla424-github-cicd-template,JuanVilla424,github-cicd-template,0be736e,https://github.com/JuanVilla424/github-cicd-template.git,1744,2,1.3,76,23.2,12.3,
JuanVilla424-jhaniter,JuanVilla424,jhaniter,5fdde98,https://github.com/JuanVilla424/jhaniter.git,1744,1,1.2,1,23.2,12.3,
JuanVilla424-qzark,JuanVilla424,qzark,bfd21bf,https://github.com/JuanVilla424/qzark.git,2170,1,1.2,51,23.1,12.2,
JuanVilla424-unkognito,JuanVilla424,unkognito,1dd2e71,https://github.com/JuanVilla424/unkognito.git,1744,1,1.2,1,23.2,12.3,
JuroOravec-djc-heroicons,JuroOravec,djc-heroicons,8843822,https://github.com/JuroOravec/djc-heroicons.git,4464,5,1.0,28,23.6,11.2,
JuryA-landscape_api_py3,JuryA,landscape_api_py3,a8708ec,https://github.com/JuryA/landscape_api_py3.git,11200,1,5.6,581,33.2,11.8,
K0lb3-UnityPy,K0lb3,UnityPy,7b887a07afacf0a6cb910603df0bab3e890f3932,https://github.com/K0lb3/UnityPy.git,21524,1193,6.5,721,41.0,14.7,
KenyonY-openai-forward,KenyonY,openai-forward,ec38ef1ecdbf95d0ec5862b22f5169170a0c670a,https://github.com/KenyonY/openai-forward.git,5193,979,2.8,171,24.9,12.7,
KiraPC-fastapi-router-controller,KiraPC,fastapi-router-controller,4d10554ce68eb1ec81297852b290641b267f04e2,https://github.com/KiraPC/fastapi-router-controller.git,722,33,5.0,66,24.6,12.9,
Kirtimaanwani-Travel-package-purchase-prediction,Kirtimaanwani,Travel-package-purchase-prediction,d53e013,https://github.com/Kirtimaanwani/Travel-package-purchase-prediction.git,12793,2,3.2,102,21.0,11.9,
KyleJamesWalker-pr-changes-matrix-builder,KyleJamesWalker,pr-changes-matrix-builder,1969d2edd3ac7dc870eed3a8c7bf2c56802b3afc,https://github.com/KyleJamesWalker/pr-changes-matrix-builder.git,669,20,4.0,27,21.1,13.5,
LiquidFun-Airway,LiquidFun,Airway,fd32593,https://github.com/LiquidFun/Airway.git,7102,45,5.2,153,22.6,13.8,tests_failed;coverage_failed
Liutos-fledgling,Liutos,fledgling,0a24501,https://github.com/Liutos/fledgling.git,3227,1,4.8,134,23.3,13.1,
LoicSteve-pytest-tip-tricks,LoicSteve,pytest-tip-tricks,e1980a6,https://github.com/LoicSteve/pytest-tip-tricks.git,54,1,1.5,7,21.9,12.2,
ML-KULeuven-deepproblog,ML-KULeuven,deepproblog,879bda3e93293cabf37541a6d82212c3ead43f2c,https://github.com/ML-KULeuven/deepproblog.git,80516,290,4.6,69,20.9,11.9,tests_failed;coverage_failed
ManoManoTech-loggia,ManoManoTech,loggia,6b399731d35ba76dca2ffb48f5d2b959b1486986,https://github.com/ManoManoTech/loggia.git,3312,16,2.4,216,,,coverage_failed;coverage_failed
MantisAI-nervaluate,MantisAI,nervaluate,0efdd4157b3f957ca77dfb9c124fb7147bb8d018,https://github.com/MantisAI/nervaluate.git,2719,202,6.9,364,0.0,0.0,
Marcus9512-Recreation-of-U-Net-Convolutional-Networks-for-Biomedical-Image-Segmentation-,Marcus9512,Recreation-of-U-Net-Convolutional-Networks-for-Biomedical-Image-Segmentation-,e656ad1,https://github.com/Marcus9512/Recreation-of-U-Net-Convolutional-Networks-for-Biomedical-Image-Segmentation-.git,510,3,5.7,199,22.1,12.4,
MarkGodwin-tplink-omada-api,MarkGodwin,tplink-omada-api,db5aba4,https://github.com/MarkGodwin/tplink-omada-api.git,2915,29,3.2,126,100.0,100.0,
